rank,baron_adv,dragon_adv,first_baron,first_dragon,first_riftherald,first_tower,tower_adv
Iron,0.5971,0.8943,0.37,0.1214,-0.2918,0.1058,3.8262
Bronze,0.6653,0.6285,-0.2182,-0.1048,-0.0307,0.0073,4.2073
Silver,0.5552,1.0601,-0.2753,0.3514,-0.3351,-0.3512,4.4701
Gold,0.3231,0.5584,-0.4149,-0.1204,0.1331,-0.0999,4.2855
Platinum,-0.0534,0.6215,0.3198,-0.0482,-0.1284,0.0782,4.7872
Emerald,0.4224,0.9721,-0.2739,-0.3879,-0.5828,0.1892,4.3626
Diamond,0.758,0.5076,-0.0443,0.3159,-0.1724,-0.1882,4.6736
Master,-0.0199,0.7975,0.1929,-0.0961,-0.2801,-0.0539,4.4386
GrandMaster,0.5258,0.6228,-0.5001,-0.1963,-0.049,-0.4521,4.7231
Challenger,0.4494,0.6408,-0.1501,0.2659,-0.3725,-0.2655,5.0737
