match_id,patch,player,rank,champion,role,win,duration_min,first_tower,first_dragon,first_baron,first_riftherald,dragon_kills,baron_kills,tower_kills,inhibitor_kills,dragon_adv,baron_adv,tower_adv,kills,deaths,assists,kda,damage,gold,cs,vision_score
TR1_1702205429,16.07,StârMuhtar,Emerald,Sion,TOP,1,32.5,0,0,1,0,1,2,11,3,-1,2,5,5,5,23,5.6,34648,13239,195,20
TR1_1702182126,16.07,StârMuhtar,Emerald,Yone,MIDDLE,1,34.78333333333333,0,0,0,0,2,1,9,1,-1,0,4,10,13,12,1.6923076923076923,43779,16376,249,22
TR1_1697065689,16.05,StârMuhtar,Emerald,LeeSin,JUNGLE,0,25.75,0,0,0,0,0,0,2,0,-3,0,-7,9,10,9,1.8,19678,12047,161,13
TR1_1688422532,16.03,StârMuhtar,Emerald,Karma,UTILITY,0,19.016666666666666,0,1,0,0,1,0,0,0,0,0,-5,0,10,4,0.4,4474,4730,25,34
TR1_1684931726,16.02,StârMuhtar,Emerald,Zaahen,TOP,0,30.65,0,1,1,0,1,1,4,0,-1,1,-3,5,14,3,0.5714285714285714,20978,11595,210,27
TR1_1684880610,16.02,StârMuhtar,Emerald,Gangplank,TOP,0,28.966666666666665,0,1,0,1,1,0,3,0,-1,-1,-6,6,10,4,1.0,31488,14394,218,14
TR1_1684867695,16.02,StârMuhtar,Emerald,Varus,TOP,1,40.56666666666667,0,1,1,1,5,2,11,6,5,1,9,18,6,8,4.333333333333333,66637,21941,329,37
TR1_1684765721,16.02,StârMuhtar,Emerald,Varus,TOP,1,22.016666666666666,1,1,0,1,3,0,10,2,3,0,10,15,4,2,4.25,34832,13083,177,11
TR1_1645472147,15.18,StârMuhtar,Emerald,Ezreal,BOTTOM,0,18.516666666666666,0,0,0,0,0,0,1,0,-1,0,-3,2,7,6,1.1428571428571428,9708,6195,97,8
TR1_1645460635,15.18,StârMuhtar,Emerald,Jhin,BOTTOM,1,29.2,1,0,1,0,1,1,11,3,-2,1,8,4,9,8,1.3333333333333333,11659,11857,205,15
TR1_1640867460,15.17,StârMuhtar,Emerald,Irelia,MIDDLE,0,16.716666666666665,1,1,0,1,1,0,1,0,1,0,-1,7,10,0,0.7,11622,7007,114,7
TR1_1627857740,15.13,StârMuhtar,Emerald,TahmKench,UTILITY,1,29.1,1,1,1,1,3,1,10,2,2,1,8,2,3,17,6.333333333333333,7991,8541,33,55
TR1_1627852570,15.13,StârMuhtar,Emerald,Renekton,TOP,0,15.6,0,1,0,0,1,0,0,0,1,0,-2,0,5,0,0.0,5516,3667,75,6
TR1_1627845892,15.13,StârMuhtar,Emerald,Olaf,TOP,0,19.966666666666665,0,0,0,0,0,0,0,0,-2,0,-10,1,11,0,0.09090909090909091,9363,5484,110,8
TR1_1627838279,15.13,StârMuhtar,Emerald,Shen,TOP,1,28.8,0,1,1,1,3,1,9,1,2,1,4,2,7,12,2.0,7680,8985,135,12
TR1_1627828618,15.13,StârMuhtar,Emerald,Renekton,TOP,0,33.96666666666667,1,1,0,1,1,0,6,0,-2,-1,-5,5,6,6,1.8333333333333333,12338,13516,231,17
TR1_1623520769,15.12,StârMuhtar,Emerald,Vladimir,TOP,0,26.816666666666666,1,1,0,0,1,0,3,0,-1,0,-3,5,10,4,0.9,28420,10992,177,13
TR1_1621476108,15.12,StârMuhtar,Emerald,Irelia,MIDDLE,0,34.6,1,0,1,0,2,1,5,0,0,1,-3,11,10,14,2.5,43681,19244,257,16
TR1_1621462227,15.12,StârMuhtar,Emerald,Vladimir,MIDDLE,1,30.466666666666665,1,1,1,0,3,1,10,1,3,1,5,13,7,11,3.4285714285714284,43894,16653,213,16
TR1_1621452124,15.12,StârMuhtar,Emerald,Diana,MIDDLE,1,27.55,1,0,1,1,1,1,10,2,-1,1,8,16,4,6,5.5,36158,16670,210,22
TR1_1621371183,15.12,StârMuhtar,Emerald,Diana,MIDDLE,1,23.966666666666665,1,1,0,1,2,0,10,2,1,0,10,13,8,7,2.5,33213,12320,149,13
TR1_1621338407,15.12,StârMuhtar,Emerald,Irelia,MIDDLE,1,25.0,1,1,0,1,2,0,10,2,1,0,9,8,4,3,2.75,20231,16476,249,14
TR1_1621320312,15.12,StârMuhtar,Emerald,Vladimir,TOP,0,28.116666666666667,0,1,0,0,2,0,4,0,0,-1,-4,5,7,8,1.8571428571428572,28889,11009,191,14
TR1_1621233510,15.12,StârMuhtar,Emerald,Jax,TOP,1,28.633333333333333,0,1,1,0,3,1,10,2,3,1,8,6,10,3,0.9,15734,10794,137,20
TR1_1621226984,15.12,StârMuhtar,Emerald,Renekton,TOP,0,19.333333333333332,0,0,0,0,0,0,0,0,-2,0,-4,2,7,1,0.42857142857142855,7974,6499,120,12
TR1_1620112252,15.11,StârMuhtar,Emerald,Vladimir,MIDDLE,1,18.866666666666667,0,1,0,0,2,0,3,0,2,0,1,4,2,4,4.0,15010,8452,167,7
TR1_1620100678,15.11,StârMuhtar,Emerald,Vladimir,MIDDLE,1,26.416666666666668,1,1,1,1,3,1,10,2,3,1,10,8,2,5,6.5,24318,13311,217,15
TR1_1620089780,15.11,StârMuhtar,Emerald,Vladimir,TOP,0,28.883333333333333,0,0,0,0,0,0,2,0,-4,-1,-7,6,6,2,1.3333333333333333,30312,13764,236,15
TR1_1620079941,15.11,StârMuhtar,Emerald,Diana,MIDDLE,1,22.05,1,1,0,1,3,0,9,1,3,0,9,17,5,7,4.8,34527,15252,182,19
TR1_1619624885,15.11,StârMuhtar,Emerald,Tristana,MIDDLE,1,26.716666666666665,1,0,0,0,1,0,10,2,-2,0,6,12,7,9,3.0,31576,13439,155,17
TR1_1619334699,15.11,StârMuhtar,Emerald,Irelia,MIDDLE,1,27.616666666666667,1,0,1,1,1,1,10,2,-1,1,8,18,9,6,2.6666666666666665,40294,17349,204,14
TR1_1618797391,15.11,StârMuhtar,Emerald,Vladimir,TOP,0,27.5,0,0,0,0,1,0,0,0,-2,-1,-13,10,9,5,1.6666666666666667,41180,14161,206,13
TR1_1618784480,15.11,StârMuhtar,Emerald,Akali,MIDDLE,1,30.133333333333333,1,0,1,1,1,1,11,3,-1,1,8,9,6,20,4.833333333333333,31823,13917,167,16
TR1_1618767650,15.11,StârMuhtar,Emerald,Vladimir,TOP,1,32.0,1,1,0,0,4,0,7,1,4,-1,2,4,5,14,3.6,41513,13067,219,17
TR1_1618755842,15.11,StârMuhtar,Emerald,Vladimir,TOP,1,21.133333333333333,1,1,0,1,3,0,9,1,3,0,8,5,2,3,4.0,14483,9890,168,9
TR1_1610406717,15.08,StârMuhtar,Emerald,Tryndamere,TOP,0,23.65,1,1,0,0,1,0,3,0,-1,0,-3,2,6,4,1.0,11752,9953,218,10
TR1_1610124449,15.08,StârMuhtar,Emerald,Fiora,TOP,1,33.3,1,1,1,0,4,1,12,4,4,1,6,17,4,6,5.75,51230,19744,315,26
TR1_1609930959,15.08,StârMuhtar,Emerald,Veigar,UTILITY,1,35.88333333333333,1,0,0,0,4,0,8,1,3,-1,4,8,16,17,1.5625,19889,12095,63,65
TR1_1609921484,15.08,StârMuhtar,Emerald,Rell,UTILITY,0,37.916666666666664,1,0,0,1,1,0,4,0,-3,-2,-4,1,11,21,2.0,6310,9268,37,99
TR1_1606489307,15.07,StârMuhtar,Emerald,Aatrox,TOP,0,30.616666666666667,1,1,0,1,2,0,4,0,2,-1,-4,5,9,7,1.3333333333333333,20372,10974,156,22
TR1_1606482001,15.07,StârMuhtar,Emerald,Renekton,TOP,0,31.65,1,1,0,1,1,0,3,0,-3,-1,-5,10,12,4,1.1666666666666667,23911,12788,167,25
TR1_1606168478,15.07,StârMuhtar,Emerald,Renekton,TOP,0,31.533333333333335,1,1,0,1,2,0,5,0,0,-1,-5,4,6,9,2.1666666666666665,17740,11567,192,19
TR1_1606156250,15.07,StârMuhtar,Emerald,Aatrox,TOP,0,24.416666666666668,0,0,0,0,0,0,0,0,-2,0,-7,3,7,2,0.7142857142857143,11830,7341,118,11
TR1_1606056716,15.07,StârMuhtar,Emerald,Gnar,TOP,1,28.866666666666667,1,0,1,1,2,1,8,1,0,1,4,7,9,14,2.3333333333333335,22892,11630,140,18
TR1_1606046408,15.07,StârMuhtar,Emerald,Aatrox,TOP,1,28.983333333333334,0,1,1,1,4,1,10,2,3,1,6,1,10,6,0.7,10824,9174,173,19
TR1_1605902438,15.07,StârMuhtar,Emerald,Yone,MIDDLE,0,29.516666666666666,0,1,0,0,1,0,3,0,-2,-1,-7,1,11,4,0.45454545454545453,11442,8956,167,17
TR1_1605895472,15.07,StârMuhtar,Emerald,Aatrox,TOP,1,33.55,0,1,1,0,4,1,8,2,3,1,3,7,6,15,3.6666666666666665,22454,12878,160,17
TR1_1605886703,15.07,StârMuhtar,Emerald,Jax,TOP,0,24.333333333333332,0,0,0,0,0,0,3,0,-2,0,-2,4,4,0,1.0,13649,8674,153,13
TR1_1605581880,15.07,StârMuhtar,Emerald,Volibear,TOP,0,28.133333333333333,0,0,0,0,0,0,4,0,-4,-1,-6,1,14,4,0.35714285714285715,6722,7647,112,13
TR1_1605572363,15.07,StârMuhtar,Emerald,Kled,TOP,1,30.116666666666667,1,1,1,0,4,1,10,1,4,1,6,7,10,13,2.0,16981,12107,138,19
TR1_1605557973,15.07,StârMuhtar,Emerald,Nocturne,JUNGLE,0,26.733333333333334,1,0,0,0,0,0,2,0,-4,0,-6,4,12,2,0.5,9212,8115,112,15
TR1_1604449514,15.06,StârMuhtar,Emerald,Pyke,UTILITY,0,28.916666666666668,1,1,0,1,1,0,3,0,-2,-1,-6,6,10,5,1.1,12206,9332,32,49
TR1_1604447211,15.06,StârMuhtar,Emerald,Gwen,TOP,0,17.233333333333334,0,0,0,0,0,0,1,0,-2,0,-7,0,9,0,0.0,6647,4507,80,9
TR1_1604436777,15.06,StârMuhtar,Emerald,Renekton,TOP,0,24.383333333333333,0,0,0,0,0,0,3,0,-3,0,-6,2,7,7,1.2857142857142858,10106,8526,146,12
TR1_1600394759,15.05,StârMuhtar,Emerald,DrMundo,TOP,0,27.133333333333333,0,1,0,0,2,0,3,0,0,0,-6,3,7,4,1.0,19049,10737,172,11
TR1_1598766920,15.05,StârMuhtar,Emerald,Garen,TOP,1,11.933333333333334,1,1,0,0,1,0,1,0,1,0,1,1,3,0,0.3333333333333333,4345,4136,94,4
TR1_1598671067,15.05,StârMuhtar,Emerald,Poppy,TOP,0,27.5,0,1,0,0,3,0,4,0,3,-1,-3,5,10,6,1.1,16769,9272,115,11
TR1_1598658895,15.05,StârMuhtar,Emerald,Ambessa,TOP,0,22.35,0,1,0,0,2,0,0,0,1,0,-11,3,5,4,1.4,23015,7125,126,12
TR1_1598648859,15.05,StârMuhtar,Emerald,Darius,TOP,1,27.75,0,1,1,0,3,1,7,1,2,1,5,1,8,2,0.375,10489,9058,179,19
TR1_1598414016,15.05,StârMuhtar,Emerald,Gragas,TOP,0,29.4,1,0,0,1,3,0,4,0,2,-1,-5,8,6,6,2.3333333333333335,30377,11495,200,15
TR1_1598403630,15.05,StârMuhtar,Emerald,Ambessa,TOP,1,28.833333333333332,1,0,0,0,3,0,9,1,2,0,4,4,13,3,0.5384615384615384,20358,9812,156,16
TR1_1598366322,15.05,StârMuhtar,Emerald,Ambessa,TOP,0,16.183333333333334,0,0,0,0,0,0,0,0,-1,0,-3,0,4,2,0.5,11339,5100,125,11
TR1_1598356825,15.05,StârMuhtar,Emerald,Ekko,JUNGLE,1,36.666666666666664,0,1,0,0,2,1,7,1,0,0,0,12,9,17,3.2222222222222223,47491,15958,209,23
TR1_1598352642,15.05,StârMuhtar,Emerald,Neeko,UTILITY,1,24.3,1,1,0,1,2,0,11,3,2,0,10,6,7,13,2.7142857142857144,18595,9122,49,48
TR1_1597793832,15.04,StârMuhtar,Emerald,Viego,JUNGLE,0,20.133333333333333,1,0,0,0,0,0,1,0,-3,0,-3,1,6,1,0.3333333333333333,2681,5960,112,6
TR1_1597641678,15.04,StârMuhtar,Emerald,Garen,TOP,0,24.35,0,1,0,0,2,0,4,0,1,0,-2,6,7,2,1.1428571428571428,12604,10352,154,11
TR1_1597632155,15.04,StârMuhtar,Emerald,Yone,TOP,0,17.016666666666666,0,1,0,0,2,0,0,0,2,0,-3,0,10,1,0.1,3905,4093,77,5
TR1_1596542378,15.04,StârMuhtar,Emerald,DrMundo,TOP,0,28.066666666666666,1,0,0,0,0,0,3,0,-4,0,-8,1,8,2,0.375,18611,9134,198,17
TR1_1596539403,15.04,StârMuhtar,Emerald,Gragas,TOP,1,25.016666666666666,1,0,0,1,3,0,11,3,2,0,11,8,5,5,2.6,29621,12990,208,10
TR1_1595358903,15.04,StârMuhtar,Emerald,Jax,TOP,0,28.5,1,1,0,0,1,0,2,0,-2,0,-7,1,9,3,0.4444444444444444,8987,7976,145,14
TR1_1595346661,15.04,StârMuhtar,Emerald,Renekton,TOP,1,20.4,1,1,0,1,2,0,3,0,2,0,0,8,2,5,6.5,17405,10503,166,9
TR1_1594685441,15.03,StârMuhtar,Emerald,Irelia,TOP,1,31.166666666666668,0,1,1,0,4,1,11,3,4,1,5,9,13,12,1.6153846153846154,35980,15733,250,26
TR1_1593499965,15.03,StârMuhtar,Emerald,Kayle,TOP,1,42.96666666666667,1,0,1,1,2,2,10,2,-2,2,6,5,13,20,1.9230769230769231,34400,15112,242,31
TR1_1593480910,15.03,StârMuhtar,Emerald,DrMundo,TOP,1,27.333333333333332,1,0,0,0,2,0,7,1,0,0,5,3,5,1,0.8,12599,11267,191,13
TR1_1593469905,15.03,StârMuhtar,Emerald,DrMundo,TOP,1,19.216666666666665,1,1,0,1,2,0,4,0,2,0,3,7,2,7,7.0,15604,8182,122,5
TR1_1591967030,15.03,StârMuhtar,Emerald,Malphite,TOP,0,28.366666666666667,0,1,0,0,1,0,3,0,-2,-1,-8,5,4,5,2.5,16086,10166,174,19
TR1_1591959238,15.03,StârMuhtar,Emerald,Fiora,TOP,1,20.05,1,1,0,1,3,0,4,0,3,0,3,2,2,1,1.5,13262,7809,169,15
TR1_1591945770,15.03,StârMuhtar,Emerald,Renekton,TOP,1,29.616666666666667,0,1,1,1,4,1,8,1,4,1,5,6,8,6,1.5,12583,12562,195,20
TR1_1588560423,15.02,StârMuhtar,Emerald,Darius,TOP,0,21.1,0,1,0,0,2,0,0,0,1,0,-7,0,5,2,0.4,5213,5489,111,10
TR1_1584784719,15.01,StârMuhtar,Emerald,Pyke,MIDDLE,0,35.45,0,0,0,0,2,0,4,0,0,-1,-6,3,11,13,1.4545454545454546,14810,10713,168,17
TR1_1582536233,15.01,StârMuhtar,Emerald,Aurora,TOP,0,19.866666666666667,0,0,0,0,1,0,1,0,0,0,-4,2,6,1,0.5,10030,6308,132,13
TR1_1575174547,14.24,StârMuhtar,Emerald,Kassadin,MIDDLE,0,23.45,1,0,0,0,0,0,1,0,-2,-1,-6,1,5,5,1.2,5976,7031,138,11
TR1_1575161880,14.24,StârMuhtar,Emerald,Viego,JUNGLE,0,29.216666666666665,1,0,0,1,0,0,3,0,-5,-1,-3,2,10,8,1.0,6849,9515,146,18
TR1_1572473432,14.23,StârMuhtar,Emerald,Ahri,MIDDLE,0,30.583333333333332,1,1,0,0,2,0,3,0,0,-1,-7,5,12,6,0.9166666666666666,14937,9808,140,24
